Employee_ID,Name,Department,Age,Salary,Joining_Date
2.0,Employee_1,IT,25.0,40000.0,2020-01-01
2.0,Employee_1,HR,26.0,45000.0,2020-01-02
3.0,Employee_3,HR,27.0,50000.0,2020-01-03
4.0,Employee_4,Sales,29.362745098039216,55000.0,2020-01-04
5.0,Employee_5,Marketing,29.0,62156.86274509804,2020-01-05
6.0,Employee_6,IT,30.0,65000.0,2020-01-05
8.0,Employee_7,HR,31.0,70000.0,2020-01-07
8.0,Employee_1,Finance,32.0,75000.0,2020-01-08
9.0,Employee_9,HR,33.0,80000.0,2020-01-09
10.0,Employee_10,Marketing,29.362745098039216,85000.0,2020-01-10
11.0,Employee_11,IT,25.0,62156.86274509804,2020-01-11
12.0,Employee_12,HR,26.0,45000.0,2020-01-11
13.0,Employee_13,Finance,27.0,50000.0,2020-01-13
14.0,Employee_14,Sales,28.0,55000.0,2020-01-14
15.0,Employee_15,Marketing,29.0,60000.0,2020-01-15
16.0,Employee_16,IT,30.0,65000.0,2020-01-16
17.0,Employee_17,HR,31.0,70000.0,2020-01-17
18.0,Employee_18,Finance,32.0,75000.0,2020-01-18
19.0,Employee_19,Sales,33.0,80000.0,2020-01-19
20.0,Employee_20,Marketing,34.0,85000.0,2020-01-20
21.0,Employee_21,IT,25.0,40000.0,2020-01-21
22.0,Employee_22,HR,26.0,45000.0,2020-01-22
23.0,Employee_23,Finance,27.0,50000.0,2020-01-23
24.0,Employee_24,Sales,28.0,55000.0,2020-01-24
25.0,Employee_25,Marketing,29.0,60000.0,2020-01-25
26.0,Employee_26,IT,30.0,65000.0,2020-01-26
27.0,Employee_27,HR,31.0,70000.0,2020-01-27
28.0,Employee_28,Finance,32.0,75000.0,2020-01-28
29.0,Employee_29,Sales,33.0,80000.0,2020-01-29
30.0,Employee_30,Marketing,34.0,85000.0,2020-01-30
31.0,Employee_31,IT,25.0,40000.0,2020-01-31
32.0,Employee_32,HR,26.0,45000.0,2020-02-01
33.0,Employee_33,Finance,27.0,50000.0,2020-02-02
34.0,Employee_34,Sales,28.0,55000.0,2020-02-03
35.0,Employee_35,Marketing,29.0,60000.0,2020-02-04
36.0,Employee_36,IT,30.0,65000.0,2020-02-05
37.0,Employee_37,HR,31.0,70000.0,2020-02-06
38.0,Employee_38,Finance,32.0,75000.0,2020-02-07
39.0,Employee_39,Sales,33.0,80000.0,2020-02-08
40.0,Employee_40,Marketing,34.0,85000.0,2020-02-09
41.0,Employee_41,IT,25.0,40000.0,2020-02-10
42.0,Employee_42,HR,26.0,45000.0,2020-02-11
43.0,Employee_43,Finance,27.0,50000.0,2020-02-12
44.0,Employee_44,Sales,28.0,55000.0,2020-02-13
45.0,Employee_45,Marketing,29.0,60000.0,2020-02-14
46.0,Employee_46,IT,30.0,65000.0,2020-02-15
47.0,Employee_47,HR,31.0,70000.0,2020-02-16
